TimeSeries ID,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-0.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-2.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:test.project_id:master-thesis-benchmark.zone:us-central1-a
project_id,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark
zone,europe-west6-c,europe-west6-c,europe-west6-c,europe-west6-c,us-central1-a
system_labels.name,backup-mt-1,backup-mt-1-instance-0,backup-mt-1-instance-1,backup-mt-1-instance-2,test
Tue Jul 11 2023 20:45:00 GMT+0200 (Central European Summer Time),0.0021425791711256656,0.5385555868632703,0.5246684429088175,0.5386621152597703,undefined
Tue Jul 11 2023 20:50:00 GMT+0200 (Central European Summer Time),0.0022704916865980826,0.5357843363659109,0.522131143588825,0.527264865333891,undefined
Tue Jul 11 2023 20:55:00 GMT+0200 (Central European Summer Time),0.004367618854994362,0.5375675009717087,0.5505034301682887,0.5317590019900914,undefined
Tue Jul 11 2023 21:00:00 GMT+0200 (Central European Summer Time),0.00227643399345349,0.535648421685922,0.5379677684720324,0.5212095744590625,undefined
Tue Jul 11 2023 21:05:00 GMT+0200 (Central European Summer Time),0.0017736732429117787,0.5367136030833899,0.5344500905516967,0.5266494046780583,undefined
Tue Jul 11 2023 21:10:00 GMT+0200 (Central European Summer Time),0.0023255979339440575,0.5397631231317792,0.5416231998845069,0.519906017543047,undefined
Tue Jul 11 2023 21:15:00 GMT+0200 (Central European Summer Time),0.002027111759462059,0.5501355823115469,0.5323841539722889,0.5266600807545243,undefined
Tue Jul 11 2023 21:20:00 GMT+0200 (Central European Summer Time),0.0022048427688393228,0.5291646803514838,0.543546036616875,0.5448947242254084,undefined
Tue Jul 11 2023 21:25:00 GMT+0200 (Central European Summer Time),0.0023136584285566642,0.5387244900792333,0.5436031015060628,0.5415314126795056,undefined
Tue Jul 11 2023 21:30:00 GMT+0200 (Central European Summer Time),0.002009823500548009,0.5295426694048244,0.5314959941992372,0.5337257035275373,undefined
Tue Jul 11 2023 21:35:00 GMT+0200 (Central European Summer Time),0.0026531217787881664,0.58481258045423,0.5671126132185903,0.5313898400036428,undefined
Tue Jul 11 2023 21:40:00 GMT+0200 (Central European Summer Time),0.002697701354788175,0.5728450779463613,0.541915727191966,0.5539645921021779,undefined
Tue Jul 11 2023 21:45:00 GMT+0200 (Central European Summer Time),0.0027447002202764755,0.5243649608815152,0.55048200050991,0.5531339474363933,undefined
